BusinessID,CoordinatesLongitude,InsertedAtTimestamp,Address,CoordinatesLatitude,Rating,Cuisine,ZipCode,Name,NumberOfReviews
R3UNnA8EbjhNWBHS0wJ0VA,-73.96636,1555271075124,1049 2nd Ave,40.75831,3.5,chinese,10022,Grand Sichuan Eastern,240
2l6f0IXKZkxyq0L4EaoaFQ,-73.9948451276474,1555271131558,19 Kenmare St,40.720706862742,3.5,thai,10012,The Butcher's Daughter,1108
okNIE5TrZVy43GI0A3aUIw,-73.9885798943981,1555271044152,339 Adams St,40.69319596606,3.5,mexican,11201,Rocco's Tacos & Tequila Bar,1156
GpZTBy6C-GhMBIhimBRZ_g,-73.9902504129669,1555270427274,368 W 46th St,40.7607045203285,4,japanese,10036,Ikinari Steak Times Square,118
z-zXPW4_JIHWCSCwwbQLYg,-73.830498211479,1555270478858,81-28 Lefferts Blvd,40.7090018174257,3.5,italian,11415,Dani's House of Pizza,890
k3iUNUGsl-xpQ_EsOfTadA,-73.9395386,1555271039997,339 E 108th St,40.7912288,4,mexican,10029,Cafe Ollin,373
5w8CYpHKq8oQth42wSpt-g,-73.9229787214569,1555270429169,4113 Queens Blvd,40.7438180001399,3.5,japanese,11104,Ariyoshi,269
QZcRSVUltJ6YreTeDx52lQ,-73.9790954589844,1555270376733,226 7th Ave,40.670295715332,4,indian,11215,Mr Falafel,182
Uoic12Je-GLfRp3D3Klp5g,-73.988227,1555270426203,86 E 3rd St,40.724637,4,japanese,10003,Umi No Ie,149
-_kj-IG6iUO_NWp2bIyNeg,-74.00196,1555270439599,179 Prince St,40.7264,3,japanese,10012,Nagomi,98
IcEafi60F4pyEHaM4lR4Wg,-73.85684,1555270377849,4220 White Plains Rd,40.894,4,indian,10466,Ali's Roti Shop,70
uyOu6ofKz2_TmwXCwaDCGg,-73.9636141061783,1555271046557,708 Washington Ave,40.6768850683622,5,mexican,11238,Mexicocina Agaveria,3
alaGGSDEpNcckPB93da3Mw,-73.9831031299337,1555271134713,1114 6th Ave,40.7546422192153,3,thai,10036,sweetgreen,68
3xd4L_TdfdhuCjAzJecs6A,-73.8862630999689,1555270481030,2477 Arthur Ave,40.8573321267268,4,italian,10458,Michaelangelo's Little Italy,185
O-VPSZK6QAuJPyJgTP3w7g,-74.06577,1555270380067,370 W Pleasantview Ave,40.87649,4,indian,07601,Juicy Halal Mediterranean,207
EgBPFtixZK9VhRtFsobDxg,-73.9927978515625,1555271080229,71A Eldridge St,40.7167625427246,4,chinese,10002,Best Fuzhou Restaurant,5
pGYovGGnxm0tMmkiQJPygA,-73.96559,1555270428198,237 Kent Ave,40.71657,4,japanese,11249,Ume Williamsburg,100
vjubSxmdG_HoBBgd39geBw,-73.980516,1555270461621,39 W 46th St,40.7569159,4,italian,10036,Nino's 46,1061
AtPhAHLLdmro_p6FP61qtw,-73.9824728,1555270368738,126 Lexington Ave,40.742961,3.5,indian,10016,Kustory Kabab,17
lJsNGj70bmuBrcAubvfTAQ,-73.98456,1555271087306,155 York St,40.70154,5,chinese,11201,First Wok,3
rYvxje-p3e5sR4bJflz_pw,-73.9827420901337,1555270480257,1697 Broadway,40.7638169909039,3.5,italian,10019,Angelo's Pizza,446
eZ0J2lwGdOBZHQKTC5hQYQ,-73.9574585,1555271045406,149 Havemeyer St,40.7116974,3.5,mexican,11211,Cerveceria Havemeyer,118
t_tWuzMEsoD9GDgAm_0l7g,-73.97782,1555270363573,411 Amsterdam Ave,40.78353,3.5,indian,10024,Swagat,371
X9f5HH4x3Mi7lo4ph9efvQ,-73.9837719490146,1555270473769,341 5th Ave,40.671949831792,3.5,italian,11215,Terre,28
3wKhPtE-PmeuOdnYVS9yxQ,-73.99925,1555271128160,73 Mulberry St,40.71623,4,thai,10013,Thanh Hoai 1,155
MidK0WWI0_1tZL8AuR7Jhw,-73.958697,1555271127289,154 E 79th St,40.774627,4,thai,10075,Candle 79,1275
tulTGtXf_TWmcMqPx03Pyw,-73.7901,1555271045383,123 Union Ave,40.91016,4.5,mexican,10801,Restaurant Tecalitlan,60
eBljpfHpo3m6oc5SFw-mLw,-73.92877,1555271131533,112 Harrison Pl,40.70676,4,thai,11237,Falansai,197
sppl_-Hw-UMX5tlTd_0poA,-74.0065133571625,1555270478855,7 Ninth Ave,40.7393803425011,3,italian,10014,Serafina Meatpacking,263
wOq-Jt26jnFf_rhF4r5D6w,-73.99358,1555270466044,30 W 18th St,40.73902,4,italian,10011,Scampi,156
7zk4bUsLYR_Jw-Ol-3ao9A,-73.9783245,1555270480257,Madsion Ave,40.7540943,5,italian,10173,Dragon's,1
vA2VEhW6S1ioX6tXtQdO9A,-73.993137,1555271120884,156 Court St,40.688684,3.5,thai,11201,Lemongrass Grill,409
2tR7d61tBGNlGaJRYvrN0Q,-73.9189697784327,1555271085183,45-26 46th St,40.7425888323281,3.5,chinese,11104,Dumplings & Things,155
4SK9aWKC-Qwk-cqS2dWbfw,-74.0678749,1555270370859,775 Bergen Ave,40.7259164,4,indian,07306,Kebab N grill,35
YvhVIOCXT8X71nkAy388Lg,-73.9476,1555271125436,615 Grand St,40.7114199,3.5,thai,11211,Lily Thai,203
MlOdJ9tK3idyXGR4Yo7ttQ,-74.0097399,1555270481028,460 Greenwich St,40.72379,4,italian,10013,Estancia 460,120
MdDj13LgIs0WdbIdiyqB7Q,-74.0018,1555271125431,177 Prince St,40.72645,4,thai,10012,Pinch Chinese,269
WFOaud0jlpXQ9aEecipUqg,-74.0015486,1555270438580,170 W 4th St,40.731958,4,japanese,10014,Las Ramblas,686
5rX_7IkvFx5MKqS3ikQe3Q,-73.992805,1555271134704,82 Henry St,40.698455,3,thai,11201,Fortune House,110
B9Mbi12NpBJkZcRtQNtMBA,-73.96775,1555271117974,224 W 104th St,40.79948,4,thai,10024,Malaysia Grill,270
xrKa2SpgWzPEEbji3Iw2DQ,-73.96241,1555271039098,949 Columbus Ave,40.79956,5,mexican,10025,THE CALAVERAS,2
tRAfOBAKvB3Lt8SrqGSijg,-73.8493243,1555271055431,6405 108th St,40.7327858,4,mexican,11375,Taco King,125
8JUmgPzucg0qbc8oRSYgJw,-73.9079299,1555271091282,5907 Grand Ave,40.72083,4,chinese,11378,New Choi Hee II,5
MyVbXtvst8X7sbR7gUA_ug,-73.988873,1555270473762,80 2nd Ave,40.726384,3.5,italian,10003,Cacio E Vino,313
1k2a5TvJpmXW6laSG6ugIA,-74.06616,1555271054474,6 Jordan Ave,40.72396,4,mexican,07306,Guerrero,13
FiKu5C03pBiAn5v5DEL9UQ,-74.00606,1555271133417,581 Hudson St,40.73639,3.5,thai,10014,The Butcher's Daughter,197
HKjazh_40Gei5rP5ir-F2w,-73.95672,1555271087346,2076 Frederick Douglass B,40.802,4,chinese,10026,Zheng's River Restaurant,1
sbdRT4UyIYTFrXfCKraAhQ,-73.9579399,1555271047431,195 Bedford Ave,40.71729,3.5,mexican,11211,Vera Cruz,220
-GkhPQ0AVLoIAzPGfQ_SaA,-73.9601211547852,1555270375881,621 Flatbush Ave,40.6582221984863,4.5,indian,11230,Halal West Indian and American Cuisine,13
PBUIaPtgnhmdHE3KHglK-g,-73.9814290717583,1555271132082,1 Central Park W,40.7691122743293,4.5,thai,10023,Jean-Georges,1821
s-UAKra4P0sFE9ylXlwwfA,-73.94913,1555271124035,1750 2nd Ave,40.78116,4,thai,10128,Le Viet Cafe,111
IzY4xwbY7YqPoL_-xCSeRA,-73.99967,1555271133385,263 W 19th St,40.74281,4,thai,10011,Wisefish Poké,406
